visitor_id,nb_sessions,avg_days_between_sessions,nb_unique_documents,engagement_score,is_disengaged
"1,69652E+18",30,0.6181818181818182,22,0.544,0
"1,69738E+18",1,0.0,1,0.333,0
"1,69739E+18",7,1.3928571428571428,10,0.395,0
"1,69741E+18",1,0.0,1,0.333,0
"1,69743E+18",1,0.0,1,0.333,0
"1,69744E+18",3,0.0,5,0.365,0
"1,69745E+18",1,0.0,1,0.333,0
"1,69746E+18",20,2.886363636363636,8,0.401,0
"1,69747E+18",1,0.0,1,0.333,0
"1,69748E+18",121,1.4694656488549618,24,0.792,0
"1,6974E+18",26,4.638888888888889,8,0.399,0
"1,69752E+18",126,0.6386138613861386,51,0.993,0
"1,69753E+18",18,15.782608695652174,5,0.243,1
"1,69754E+18",19,4.727272727272728,5,0.36,0
"1,69755E+18",1,0.0,1,0.333,0
"1,6975E+18",1,0.0,1,0.333,0
"1,69762E+18",1,0.0,1,0.333,0
"1,69763E+18",1,0.0,2,0.34,0
"1,69765E+18",1,0.0,1,0.333,0
"1,69767E+18",1,0.0,1,0.333,0
"1,6976E+18",1,0.0,1,0.333,0
"1,69771E+18",1,0.0,1,0.333,0
"1,69772E+18",1,0.0,1,0.333,0
"1,69773E+18",1,0.0,1,0.333,0
"1,69775E+18",11,5.95,12,0.372,0
"1,69776E+18",1,0.0,1,0.333,0
"1,69778E+18",1,0.0,4,0.353,0
"1,69779E+18",3,11.363636363636363,8,0.269,1
"1,6977E+18",2,17.0,1,0.162,1
"1,69782E+18",12,0.875,4,0.374,0
"1,69787E+18",1,0.0,3,0.347,0
"1,69788E+18",1,0.0,1,0.333,0
"1,69789E+18",1,0.0,1,0.333,0
"1,6978E+18",1,0.0,1,0.333,0
"1,69791E+18",1,0.0,1,0.333,0
"1,69798E+18",1,0.0,1,0.333,0
"1,69802E+18",1,0.0,1,0.333,0
"1,69803E+18",1,0.0,1,0.333,0
"1,69807E+18",2,0.25,1,0.333,0
"1,69809E+18",1,0.0,1,0.333,0
"1,69811E+18",1,0.0,1,0.333,0
"1,69813E+18",1,0.0,2,0.34,0
"1,69814E+18",2,1.0,1,0.326,1
"1,69815E+18",4,6.333333333333333,4,0.296,1
"1,69816E+18",1,0.0,1,0.333,0
"1,6981E+18",14,4.166666666666667,7,0.365,0
"1,69822E+18",2,6.25,3,0.285,1
"1,69823E+18",1,0.0,2,0.34,0
"1,69824E+18",1,0.0,3,0.347,0
"1,69825E+18",1,0.0,1,0.333,0
"1,69826E+18",1,0.0,1,0.333,0
"1,69828E+18",1,0.0,1,0.333,0
"1,69829E+18",1,0.0,1,0.333,0
"1,69831E+18",1,0.0,1,0.333,0
"1,69832E+18",3,6.0,2,0.284,1
"1,69833E+18",1,0.0,3,0.347,0
"1,69835E+18",2,0.0,3,0.349,0
"1,69836E+18",1,0.0,2,0.34,0
"1,69839E+18",1,0.0,1,0.333,0
"1,69841E+18",2,31.33333333333333,1,0.015,1
"1,69844E+18",1,0.0,1,0.333,0
"1,69845E+18",1,0.0,1,0.333,0
"1,69848E+18",14,2.25,9,0.398,0
"1,69849E+18",1,0.0,1,0.333,0
"1,6984E+18",1,0.0,1,0.333,0
"1,69853E+18",2,0.2222222222222222,1,0.334,0
"1,69854E+18",1,0.0,1,0.333,0
"1,69856E+18",1,0.0,1,0.333,0
"1,69858E+18",1,0.0,1,0.333,0
"1,69859E+18",2,12.666666666666666,1,0.206,1
"1,69862E+18",1,0.0,1,0.333,0
"1,69866E+18",1,0.0,2,0.34,0
"1,69867E+18",1,0.0,1,0.333,0
"1,69868E+18",1,0.0,1,0.333,0
"1,6986E+18",1,0.0,1,0.333,0
"1,69871E+18",3,10.333333333333334,1,0.233,1
"1,69874E+18",1,0.0,1,0.333,0
"1,69877E+18",5,14.5,5,0.222,1
"1,69878E+18",1,0.0,1,0.333,0
"1,6987E+18",1,0.0,1,0.333,0
"1,69883E+18",1,0.0,1,0.333,0
"1,69884E+18",3,3.5,3,0.316,1
"1,69885E+18",3,1.0,2,0.335,0
"1,69886E+18",2,0.0,4,0.356,0
"1,69888E+18",1,0.0,1,0.333,0
"1,69891E+18",1,0.0,2,0.34,0
"1,69892E+18",1,0.0,2,0.34,0
"1,69893E+18",1,0.0,1,0.333,0
"1,69894E+18",1,0.0,1,0.333,0
"1,69895E+18",1,0.0,1,0.333,0
"1,698E+18",2,1.0,1,0.326,1
"1,69901E+18",1,0.0,1,0.333,0
"1,69902E+18",1,0.0,1,0.333,0
"1,69903E+18",2,32.5,1,0.003,1
"1,69905E+18",1,0.0,1,0.333,0
"1,69909E+18",2,1.6666666666666667,1,0.319,1
"1,69913E+18",1,0.0,1,0.333,0
"1,69914E+18",1,0.0,1,0.333,0
"1,69919E+18",1,0.0,1,0.333,0
"1,6991E+18",1,0.0,1,0.333,0
"1,69921E+18",1,0.0,3,0.347,0
"1,69922E+18",1,0.0,2,0.34,0
"1,69923E+18",7,1.6666666666666667,6,0.366,0
"1,69926E+18",1,0.0,2,0.34,0
"1,69927E+18",5,6.166666666666667,3,0.294,1
"1,69928E+18",1,0.0,1,0.333,0
"1,69929E+18",2,0.5,2,0.338,0
"1,6992E+18",4,0.2,4,0.359,0
"1,69931E+18",1,0.0,1,0.333,0
"1,69934E+18",1,0.0,1,0.333,0
"1,69936E+18",2,8.5,1,0.249,1
"1,69939E+18",1,0.0,1,0.333,0
"1,6993E+18",1,0.0,1,0.333,0
"1,69943E+18",1,0.0,1,0.333,0
"1,69945E+18",1,0.0,1,0.333,0
"1,69952E+18",5,3.25,4,0.331,1
"1,69953E+18",2,0.7142857142857143,3,0.342,0
"1,69954E+18",2,0.0769230769230769,6,0.369,0
"1,69955E+18",1,0.0,1,0.333,0
"1,69956E+18",3,0.0,4,0.359,0
"1,69957E+18",4,1.894736842105263,7,0.362,0
"1,69958E+18",1,0.0,5,0.36,0
"1,69959E+18",1,0.0,1,0.333,0
"1,69961E+18",1,0.0,2,0.34,0
"1,69962E+18",3,1.0,2,0.335,0
"1,69963E+18",1,0.0,1,0.333,0
"1,69964E+18",1,0.0,2,0.34,0
"1,69966E+18",1,0.0,1,0.333,0
"1,69969E+18",1,0.0,1,0.333,0
"1,69972E+18",1,0.0,1,0.333,0
"1,69973E+18",1,0.0,1,0.333,0
"1,69974E+18",2,0.6666666666666666,3,0.342,0
"1,6997E+18",1,0.0,1,0.333,0
"1,69981E+18",2,2.5,1,0.31,1
"1,69986E+18",1,0.0,1,0.333,0
"1,69987E+18",51,2.4166666666666665,31,0.642,0
"1,69988E+18",6,3.0,4,0.336,0
"1,69989E+18",1,0.0,3,0.347,0
"1,69991E+18",1,0.0,2,0.34,0
"1,69995E+18",4,11.4,3,0.238,1
"1,69996E+18",2,0.0,4,0.356,0
"1,69997E+18",1,0.0,1,0.333,0
"1,69998E+18",1,0.0,2,0.34,0
"1,69999E+18",13,2.6842105263157894,4,0.358,0
"1,6999E+18",1,0.0,1,0.333,0
"1,70002E+18",1,0.0,1,0.333,0
"1,70005E+18",1,0.0,5,0.36,0
"1,70006E+18",1,0.0,2,0.34,0
"1,70007E+18",1,0.0,1,0.333,0
"1,70008E+18",1,0.0,1,0.333,0
"1,70011E+18",1,0.0,2,0.34,0
"1,70013E+18",1,0.0,1,0.333,0
"1,70014E+18",1,0.0,1,0.333,0
"1,70016E+18",1,0.0,3,0.347,0
"1,70017E+18",1,0.0,2,0.34,0
"1,7001E+18",1,0.0,1,0.333,0
"1,70022E+18",9,0.7142857142857143,5,0.374,0
"1,70025E+18",1,0.0,1,0.333,0
"1,70029E+18",1,0.0,1,0.333,0
"1,70032E+18",1,0.0,1,0.333,0
"1,70035E+18",1,0.0,1,0.333,0
"1,70037E+18",1,0.0,1,0.333,0
"1,70038E+18",1,0.0,1,0.333,0
"1,70039E+18",2,17.0,1,0.162,1
"1,7003E+18",1,0.0,1,0.333,0
"1,70041E+18",2,7.0,3,0.278,1
"1,70043E+18",1,0.0,1,0.333,0
"1,70044E+18",1,0.0,1,0.333,0
"1,70045E+18",1,0.0,1,0.333,0
"1,70047E+18",1,0.0,3,0.347,0
"1,70048E+18",3,3.5,2,0.309,1
"1,70049E+18",2,0.0,1,0.336,0
"1,7004E+18",1,0.0,1,0.333,0
"1,70051E+18",1,0.0,1,0.333,0
"1,70052E+18",1,0.0,1,0.333,0
"1,70055E+18",1,0.0,1,0.333,0
"1,70056E+18",16,5.714285714285714,6,0.348,0
"1,70057E+18",1,0.0,2,0.34,0
"1,70058E+18",2,0.0,1,0.336,0
"1,70059E+18",2,5.5,1,0.28,1
"1,7005E+18",6,7.0,2,0.282,1
"1,70061E+18",1,0.0,1,0.333,0
"1,70064E+18",1,0.0,2,0.34,0
"1,70066E+18",1,0.0,2,0.34,0
"1,70067E+18",3,3.5,2,0.309,1
"1,70069E+18",1,0.0,1,0.333,0
"1,70074E+18",1,0.0,2,0.34,0
"1,70075E+18",1,0.0,1,0.333,0
"1,70076E+18",1,0.0,1,0.333,0
"1,70082E+18",1,0.0,1,0.333,0
"1,70083E+18",1,0.0,1,0.333,0
"1,70084E+18",5,7.814814814814815,12,0.337,0
"1,70085E+18",6,13.833333333333334,5,0.231,1
"1,70086E+18",1,0.0,3,0.347,0
"1,70087E+18",1,0.0,1,0.333,0
"1,70091E+18",1,0.0,2,0.34,0
"1,70092E+18",1,0.0,1,0.333,0
"1,70093E+18",1,0.0,1,0.333,0
"1,70094E+18",1,0.0,1,0.333,0
"1,70095E+18",2,14.666666666666666,2,0.192,1
"1,70099E+18",1,0.0,1,0.333,0
"1,7009E+18",1,0.0,2,0.34,0
"1,70104E+18",3,23.33333333333333,2,0.106,1
"1,70105E+18",1,0.0,1,0.333,0
"1,70106E+18",3,0.6666666666666666,3,0.345,0
"1,70108E+18",3,1.75,3,0.334,0
"1,70109E+18",2,1.875,3,0.33,1
"1,70112E+18",1,0.0,1,0.333,0
"1,70117E+18",1,0.0,1,0.333,0
"1,70118E+18",2,0.75,2,0.335,0
"1,7011E+18",1,0.0,1,0.333,0
"1,70124E+18",1,0.0,1,0.333,0
"1,70125E+18",2,0.0,1,0.336,0
"1,70126E+18",1,0.0,1,0.333,0
"1,70128E+18",1,0.0,1,0.333,0
"1,7012E+18",1,0.0,1,0.333,0
"1,70134E+18",1,0.0,1,0.333,0
"1,70135E+18",1,0.0,1,0.333,0
"1,70136E+18",1,0.0,3,0.347,0
"1,70138E+18",1,0.0,3,0.347,0
"1,70144E+18",1,0.0,1,0.333,0
"1,70145E+18",1,0.0,1,0.333,0
"1,70154E+18",2,0.0,4,0.356,0
"1,70155E+18",3,2.0,1,0.318,1
"1,70161E+18",1,0.0,1,0.333,0
"1,70168E+18",1,0.0,1,0.333,0
"1,70169E+18",1,0.0,2,0.34,0
"1,70171E+18",2,9.666666666666666,3,0.25,1
"1,70172E+18",1,0.0,1,0.333,0
